no,value
1,559
2,710
3,726
4,820
5,881
6,1018
7,1069
8,1139
9,10456
10,11067.5
11,11685.75
12,31029.5
13,13754
14,15081.25
15,9524.75
16,16409.25
17,14086.25
18,18169.75
19,11715.25
20,10365
21,15096.5
22,18366
23,10344.5
24,9201.75
25,5421.25
26,11591.75
27,11938.5
28,9172.5
29,11424.5
30,16009.5
31,12273.5
32,12130.25
33,9134
34,1789.5
35,16895.75
36,13486.25
37,13755.75
38,10891.25
39,9325.75
40,14192
41,18692.75
42,9939.75
43,18198
44,25798
45,16421.25
46,20458.75
47,559
48,710
49,726
50,820
51,881
52,1018
53,1069
54,1139
55,17480.5
56,15604.75
57,8740.75
58,17085.25
59,15926.75
60,6523
61,11504
62,5371.25
63,10477.75
64,9052
65,6601
