no,value
1,5775
2,13852.5
3,15857
4,12625.75
5,16327.25
6,17477.25
7,11043
8,17500.25
9,11222.25
10,14347.5
11,12553
12,6964.5
13,11949.25
14,14299.5
15,11233
16,555
17,435
18,235
19,600
20,520
21,240
22,440
23,480
24,500
25,490
26,300
27,430
28,7616
29,8122.5
30,7900
31,7324.5
32,8637.75
33,8877.75
34,6855.75
35,11723.25
36,10438.25
37,8390.5
38,9565.5
39,13643.5
40,7428
41,9896.75
42,10656.5
43,8325.25
44,14796.25
45,15255
46,13778.75
47,14935.75
48,13704.75
49,4134.5
50,12005.25
51,8546.25
52,10309.5
53,8017
54,9895.25
55,9507.5
56,6014.5
57,8943.98
58,18915
59,18915
60,8942.25
61,8942.25
62,8943.98
63,9000
64,8942.25
65,9100
