no,value
1,13852.5
2,15857
3,12625.75
4,16327.25
5,17477.25
6,11043
7,17500.25
8,11222.25
9,14347.5
10,12553
11,6964.5
12,11949.25
13,14299.5
14,11233
15,14485.5
16,7399.5
17,9553.5
18,10036.75
19,10820.75
20,6161.25
21,16415.5
22,9841.75
23,8832.25
24,10608.5
25,9108.25
26,9429.75
27,7616
28,8122.5
29,7900
30,7324.5
31,8637.75
32,8877.75
33,6855.75
34,11723.25
35,10438.25
36,8390.5
37,9565.5
38,13643.5
39,7428
40,9896.75
41,10656.5
42,8325.25
43,14796.25
44,15255
45,13778.75
46,14935.75
47,13704.75
48,4134.5
49,12005.25
50,8546.25
51,10309.5
52,8017
53,9895.25
54,9507.5
55,6014.5
56,23474.5
57,18915
58,16230.25
59,13175.75
60,8942.25
61,37877
62,109005.75
63,143892.5
64,65496
