no,value
1,10456
2,11067.5
3,11685.75
4,31029.5
5,13754
6,15081.25
7,9524.75
8,16409.25
9,14086.25
10,18169.75
11,11715.25
12,555
13,559
14,600
15,700
16,800
17,934
18,1100
19,1150
20,1050
21,1000
22,1100
23,1100
24,1111
25,1101
26,1200
27,1200
28,1200
29,1250
30,18198
31,25798
32,16421.25
33,20458.75
34,15741.5
35,19080.75
36,21051.75
37,8795.25
38,17480.5
39,15604.75
40,8740.75
41,17085.25
42,15926.75
43,15926.75
44,15926.75
45,15926.75
46,15926.75
47,15926.75
48,15926.75
49,15926.75
50,15926.75
51,15926.75
52,15926.75
53,7366.25
54,15000.5
55,15643.25
56,9876.25
57,11022.5
58,9952
59,9246.5
60,11829.25
61,9984
62,8168.25
63,7992
64,9894.5
