intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
25,5g,Driving-7,tcp,1,1,33,49344,889,0,4375,10205,4536,1134060,17866,elastic,2000,1920,1080,1920x1080,3.245,72.156,122098.779,3.825,4.4
25,5g,Driving-7,tcp,1,1,34,50848,588,0,4375,9641,2834,708619,18362,elastic,2000,1920,1080,1920x1080,3.289,72.269,126473.798,3.841,4.405
25,5g,Driving-7,tcp,1,1,35,52399,616,0,4375,11729,3612,903187,18812,elastic,2000,1920,1080,1920x1080,3.331,72.376,130848.817,3.857,4.412
25,5g,Driving-7,tcp,1,1,36,53745,356,0,3918,10922,1944,486058,19466,elastic,2000,1920,1080,1920x1080,3.359,72.345,134310.64,3.858,4.421
25,5g,Driving-7,tcp,1,1,37,55237,525,0,4375,9776,2566,641568,19975,elastic,2000,1920,1080,1920x1080,3.398,72.411,138229.061,3.872,4.429
25,5g,Driving-7,tcp,1,1,38,56743,534,0,4375,8617,2300,575203,20470,elastic,2000,1920,1080,1920x1080,3.435,72.504,142604.08,3.886,4.436
25,5g,Driving-7,tcp,1,1,39,58284,558,0,4375,8357,2331,582905,20930,elastic,2000,1920,1080,1920x1080,3.471,72.592,146979.099,3.898,4.447
25,5g,Driving-7,tcp,1,1,40,59629,317,0,4375,15039,2383,595956,21585,elastic,2000,1920,1080,1920x1080,3.505,72.675,151354.118,3.91,4.454
25,5g,Driving-7,tcp,1,1,41,63677,3046,0,4375,1770,2695,673957,19537,elastic,2000,1920,1080,1920x1080,3.538,72.755,155729.137,3.921,4.466
25,5g,Driving-7,tcp,1,1,42,67717,3042,0,1801,843,1282,320689,17497,elastic,2000,736,414,736x414,3.42,72.563,154956.786,3.871,4.335
25,5g,Driving-7,tcp,1,1,43,71763,2958,0,766,368,545,136274,15452,elastic,2000,512,288,512x288,3.203,72.064,154688.048,3.799,4.064
25,5g,Driving-7,tcp,1,1,44,74999,2189,0,378,278,305,76254,14216,elastic,2000,384,216,384x216,2.963,71.48,154678.904,3.721,3.798
25,5g,Driving-7,tcp,1,1,45,76981,926,0,239,234,108,27108,14234,elastic,2000,320,180,320x180,2.733,70.89,154779.357,3.644,3.619
25,5g,Driving-7,tcp,1,1,46,78901,919,0,239,229,105,26359,14315,elastic,2000,320,180,320x180,2.527,70.372,155018.872,3.57,3.417
25,5g,Driving-7,tcp,1,1,47,82397,2405,0,239,106,128,32152,12820,elastic,2000,320,180,320x180,2.339,69.876,155258.387,3.499,3.281
25,5g,Driving-7,tcp,1,1,48,85049,1586,0,239,154,122,30725,12168,elastic,2000,320,180,320x180,2.167,69.401,155497.902,3.431,3.045
25,5g,Driving-7,tcp,1,1,49,87576,1449,0,239,202,146,36678,11641,elastic,2000,320,180,320x180,2.009,68.945,155737.417,3.366,2.976
25,5g,Driving-7,tcp,1,1,50,89803,1112,0,239,218,121,30369,11415,elastic,2000,320,180,320x180,1.863,68.507,155976.932,3.303,2.889
25,5g,Driving-7,tcp,1,1,51,91727,823,0,239,222,91,22886,11491,elastic,2000,320,180,320x180,1.728,68.086,156216.447,3.243,2.794
25,5g,Driving-7,tcp,1,1,52,93567,700,0,239,230,80,20174,11652,elastic,2000,320,180,320x180,1.602,67.682,156455.962,3.185,2.746
25,5g,Driving-7,tcp,1,1,53,96015,1332,0,239,461,307,76817,11205,elastic,2000,320,180,320x180,1.485,67.293,156695.477,3.13,2.693
25,5g,Driving-7,tcp,1,1,54,100055,2884,0,239,279,402,100640,9165,elastic,2000,320,180,320x180,1.375,66.918,156934.992,3.076,2.664
25,5g,Driving-7,tcp,1,1,55,104096,2864,0,239,356,510,127725,7125,elastic,2000,320,180,320x180,1.272,66.557,157174.507,3.025,2.628
25,5g,Driving-7,tcp,1,1,56,108148,2793,0,239,409,572,143125,5073,elastic,2000,320,180,320x180,1.176,66.209,157414.022,2.975,2.604
25,5g,Driving-7,tcp,1,1,57,109533,229,0,239,3984,456,114043,5689,elastic,2000,320,180,320x180,1.085,65.873,157653.537,2.927,2.577
25,5g,Driving-7,tcp,1,1,58,110869,168,0,239,3257,273,68404,6353,elastic,2000,320,180,320x180,0.999,65.549,157893.052,2.881,2.552
25,5g,Driving-7,tcp,1,1,59,112402,364,0,239,1460,265,66439,6821,elastic,2000,320,180,320x180,0.918,65.236,158132.567,2.836,2.534
25,5g,Driving-7,tcp,1,1,60,113640,76,0,239,3126,118,29705,7584,elastic,2000,320,180,320x180,0.842,64.933,158372.082,2.793,2.499
25,5g,Driving-7,tcp,1,1,61,115020,164,0,239,3493,286,71611,8205,elastic,2000,320,180,320x180,0.769,64.64,158611.597,2.751,2.484
25,5g,Driving-7,tcp,1,1,62,116238,27,0,572,50338,679,169893,8987,elastic,2000,512,288,512x288,0.718,64.364,158851.112,2.716,2.494
25,5g,Driving-7,tcp,1,1,63,117785,252,0,766,4478,564,141059,9440,elastic,2000,512,288,512x288,0.677,64.116,159423.601,2.685,2.501
25,5g,Driving-7,tcp,1,1,64,119319,277,0,766,4557,631,157811,9906,elastic,2000,512,288,512x288,0.639,63.906,160189.899,2.655,2.507
25,5g,Driving-7,tcp,1,1,65,120997,422,0,1077,4916,1037,259371,10228,elastic,2000,640,360,640x360,0.616,63.714,160956.197,2.63,2.536
25,5g,Driving-7,tcp,1,1,66,122537,316,0,1077,4605,727,181904,10689,elastic,2000,640,360,640x360,0.594,63.55,162034.119,2.607,2.559
25,5g,Driving-7,tcp,1,1,67,124099,278,0,1077,4109,571,142811,11128,elastic,2000,640,360,640x360,0.573,63.39,163112.041,2.584,2.578
25,5g,Driving-7,tcp,1,1,68,125630,219,0,1077,4860,532,133047,11597,elastic,2000,640,360,640x360,0.553,63.235,164189.963,2.562,2.594
25,5g,Driving-7,tcp,1,1,69,127125,206,0,1077,4453,458,114669,12103,elastic,2000,640,360,640x360,0.533,63.084,165267.885,2.54,2.607
25,5g,Driving-7,tcp,1,1,70,128861,408,0,1077,6229,1270,317713,12367,elastic,2000,640,360,640x360,0.515,62.938,166345.807,2.52,2.634
25,5g,Driving-7,tcp,1,1,71,130533,369,0,1077,6000,1107,276778,12695,elastic,2000,640,360,640x360,0.498,62.796,167423.729,2.499,2.662
25,5g,Driving-7,tcp,1,1,72,132137,304,0,1077,5255,798,199722,13092,elastic,2000,640,360,640x360,0.482,62.658,168501.651,2.48,2.689
25,5g,Driving-7,tcp,1,1,73,133948,412,0,1077,4581,943,235951,13282,elastic,2000,640,360,640x360,0.466,62.523,169579.573,2.46,2.702
25,5g,Driving-7,tcp,1,1,74,135601,305,0,1077,3850,587,146799,13629,elastic,2000,640,360,640x360,0.451,62.392,170657.495,2.442,2.709
25,5g,Driving-7,tcp,1,1,75,136968,25,0,1077,1798,22,5621,14263,elastic,2000,640,360,640x360,0.437,62.265,171735.417,2.423,2.669
25,5g,Driving-7,tcp,1,1,76,138562,248,0,766,7048,874,218505,14670,elastic,2000,512,288,512x288,0.413,62.094,172190.091,2.402,2.663
25,5g,Driving-7,tcp,1,1,77,140241,319,0,766,7987,1274,318506,14991,elastic,2000,512,288,512x288,0.39,61.945,172956.389,2.38,2.661
25,5g,Driving-7,tcp,1,1,78,142026,367,0,766,7453,1367,341923,15206,elastic,2000,512,288,512x288,0.368,61.8,173722.687,2.36,2.665
25,5g,Driving-7,tcp,1,1,79,143715,318,0,766,7109,1130,282619,15518,elastic,2000,512,288,512x288,0.347,61.659,174488.985,2.34,2.658
25,5g,Driving-7,tcp,1,1,80,145689,545,0,1077,6480,1766,441509,15544,elastic,2000,640,360,640x360,0.336,61.532,175255.283,2.324,2.675
25,5g,Driving-7,tcp,1,1,81,147830,748,0,1801,6764,2529,632493,15404,elastic,2000,736,414,736x414,0.344,61.489,176333.205,2.317,2.703
25,5g,Driving-7,tcp,1,1,82,149844,575,0,1801,7440,2139,534755,15390,elastic,2000,736,414,736x414,0.352,61.445,178134.539,2.311,2.72
25,5g,Driving-7,tcp,1,1,83,151670,395,0,1077,6431,1270,317578,15564,elastic,2000,640,360,640x360,0.343,61.343,178489.049,2.296,2.718
