intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
60,5g,Driving-10,tcp,1,1,33,52694,836,0,3918,9662,4039,1009774,14500,elastic,2000,1920,1080,1920x1080,3.104,71.572,119092.377,3.748,4.353
60,5g,Driving-10,tcp,1,1,34,54136,491,0,3918,10136,2488,622122,15059,elastic,2000,1920,1080,1920x1080,3.14,71.607,123010.798,3.753,4.361
60,5g,Driving-10,tcp,1,1,35,55692,612,0,3918,10534,3223,805915,15503,elastic,2000,1920,1080,1920x1080,3.173,71.64,126929.219,3.758,4.37
60,5g,Driving-10,tcp,1,1,36,57325,643,0,3918,6047,1944,486058,15871,elastic,2000,1920,1080,1920x1080,3.205,71.671,130847.64,3.762,4.38
60,5g,Driving-10,tcp,1,1,37,59011,575,0,3918,7867,2262,565512,16185,elastic,2000,1920,1080,1920x1080,3.236,71.701,134766.061,3.766,4.39
60,5g,Driving-10,tcp,1,1,38,60770,745,0,3091,4406,1641,410358,16427,elastic,2000,1280,720,1280x720,3.23,71.583,137031.452,3.749,4.385
60,5g,Driving-10,tcp,1,1,39,62685,897,0,3091,3837,1721,430293,16512,elastic,2000,1280,720,1280x720,3.225,71.465,140123.358,3.732,4.389
60,5g,Driving-10,tcp,1,1,40,63777,84,0,2422,31080,1305,326342,17421,elastic,2000,1280,720,1280x720,3.177,71.226,141876.186,3.699,4.39
60,5g,Driving-10,tcp,1,1,41,65785,992,0,2422,3122,1548,387191,17414,elastic,2000,1280,720,1280x720,3.133,71.008,144298.553,3.668,4.403
60,5g,Driving-10,tcp,1,1,42,67440,648,0,1801,3959,1282,320689,17759,elastic,2000,736,414,736x414,3.042,70.686,145478.854,3.624,4.288
60,5g,Driving-10,tcp,1,1,43,71851,3343,0,1801,895,1496,374070,15349,elastic,2000,736,414,736x414,2.959,70.39,147280.188,3.581,4.206
60,5g,Driving-10,tcp,1,1,44,75892,2969,0,766,409,608,152071,13308,elastic,2000,512,288,512x288,2.786,69.962,147011.45,3.517,3.985
60,5g,Driving-10,tcp,1,1,45,78287,1281,0,378,271,173,43450,12913,elastic,2000,384,216,384x216,2.587,69.449,147002.306,3.447,3.767
60,5g,Driving-10,tcp,1,1,46,79944,573,0,239,368,105,26359,13257,elastic,2000,320,180,320x180,2.394,68.926,147102.759,3.378,3.585
